age,gender,is_bpl,disability_percentage,is_widow,breadwinner_deceased,receiving_other_pension,scheme
54,0,1,87,0,0,0,IGNDPS
61,0,1,59,0,0,0,IGNOAPS
52,0,0,69,0,0,0,Ineligible
82,0,1,59,0,0,0,Annapurna
64,1,0,57,1,0,0,Ineligible
20,0,1,2,0,0,0,Ineligible
18,1,0,33,0,0,0,Ineligible
22,1,0,44,1,0,0,Ineligible
31,0,1,49,0,0,0,Ineligible
44,0,1,1,0,0,0,Ineligible
26,0,0,14,0,0,0,Ineligible
32,1,1,36,0,0,0,Ineligible
59,1,1,14,0,0,0,Ineligible
68,0,0,59,0,0,1,Ineligible
80,1,1,95,1,0,0,Annapurna
69,1,1,84,1,0,0,IGNDPS
21,0,1,63,0,0,1,Ineligible
40,0,0,80,0,0,0,Ineligible
32,1,0,97,0,0,0,Ineligible
60,1,1,95,0,0,0,IGNDPS
46,1,1,51,0,0,0,Ineligible
53,1,1,22,0,1,0,NFBS
30,1,0,98,0,0,1,Ineligible
49,0,1,36,0,0,0,Ineligible
88,1,1,40,1,0,0,Annapurna
76,1,0,56,0,0,0,Ineligible
45,1,1,96,1,0,0,IGNDPS
83,0,1,24,0,0,0,Annapurna
59,0,0,36,0,0,0,Ineligible
62,0,1,39,0,0,0,IGNOAPS
79,0,0,84,0,0,0,Ineligible
74,0,1,45,0,0,0,Annapurna
23,1,1,59,0,0,0,Ineligible
45,1,1,97,0,0,1,IGNDPS
45,0,1,18,0,0,0,Ineligible
61,1,1,90,0,0,0,IGNDPS
47,0,0,8,0,0,1,Ineligible
79,0,1,68,0,0,1,IGNOAPS
79,0,0,4,0,0,1,Ineligible
18,1,0,88,0,0,0,Ineligible
44,0,0,25,0,0,1,Ineligible
79,0,1,18,0,0,0,Annapurna
20,0,0,29,0,0,0,Ineligible
87,1,0,99,1,0,1,Ineligible
89,0,0,47,0,0,1,Ineligible
44,1,0,15,0,0,0,Ineligible
26,1,1,70,0,0,1,Ineligible
79,1,1,17,0,1,0,Annapurna
54,1,0,55,1,0,0,Ineligible
68,0,1,20,0,0,0,Annapurna
61,0,1,30,0,0,1,IGNOAPS
41,1,1,0,0,0,0,Ineligible
76,0,1,2,0,1,1,IGNOAPS
49,1,1,94,0,0,0,IGNDPS
69,1,0,24,0,0,1,Ineligible
79,1,1,7,0,0,0,Annapurna
75,1,1,64,0,0,0,Annapurna
69,1,1,61,1,0,1,IGNWPS
29,1,1,6,0,0,0,Ineligible
56,0,0,6,0,0,0,Ineligible
19,1,1,7,0,0,0,Ineligible
20,0,1,18,0,0,0,Ineligible
73,0,0,16,0,0,0,Ineligible
76,1,0,10,0,0,0,Ineligible
19,0,1,48,0,0,0,Ineligible
19,0,1,10,0,0,1,Ineligible
71,0,1,40,0,0,1,IGNOAPS
18,1,1,61,0,0,1,Ineligible
36,1,1,51,0,0,0,Ineligible
19,1,0,65,1,0,1,Ineligible
70,0,0,67,0,1,0,Ineligible
61,1,0,91,0,1,1,Ineligible
49,1,0,96,0,0,0,Ineligible
87,0,0,74,0,0,0,Ineligible
49,0,1,66,0,0,0,Ineligible
85,0,1,39,0,0,0,Annapurna
72,1,0,4,1,0,1,Ineligible
73,1,0,84,0,0,1,Ineligible
34,1,0,21,0,0,0,Ineligible
55,0,1,36,0,0,1,Ineligible
41,1,0,10,0,1,0,Ineligible
86,1,0,43,1,1,0,Ineligible
87,1,1,85,1,0,0,Annapurna
28,1,1,52,0,1,0,NFBS
33,0,0,76,0,0,0,Ineligible
76,0,1,60,0,0,0,Annapurna
87,1,0,66,0,0,0,Ineligible
20,1,1,12,0,0,0,Ineligible
37,1,1,91,0,1,1,IGNDPS
76,0,0,10,0,0,0,Ineligible
53,1,1,10,0,0,0,Ineligible
36,0,0,84,0,0,0,Ineligible
84,0,0,84,0,0,0,Ineligible
36,1,0,6,1,0,1,Ineligible
37,1,1,16,0,0,0,Ineligible
88,0,0,47,0,0,1,Ineligible
69,0,0,13,0,0,0,Ineligible
50,0,0,62,0,0,1,Ineligible
57,0,0,63,0,0,1,Ineligible
56,1,1,96,1,0,0,IGNDPS
18,1,0,74,0,1,0,Ineligible
28,0,0,76,0,0,0,Ineligible
74,1,1,64,0,0,1,IGNOAPS
67,1,1,33,0,0,0,Annapurna
40,1,1,8,0,0,0,Ineligible
48,0,1,76,0,0,0,Ineligible
59,1,0,36,1,0,1,Ineligible
24,0,1,29,0,0,0,Ineligible
33,0,1,40,0,1,1,NFBS
77,0,0,44,0,0,1,Ineligible
19,0,1,46,0,0,0,Ineligible
18,0,0,6,0,1,0,Ineligible
65,0,1,13,0,0,0,Annapurna
29,0,1,47,0,0,0,Ineligible
86,1,1,5,0,0,0,Annapurna
54,1,1,33,1,0,0,IGNWPS
49,0,1,79,0,0,0,Ineligible
26,1,0,99,1,0,1,Ineligible
36,1,1,45,0,0,0,Ineligible
65,1,0,58,0,0,1,Ineligible
20,0,0,69,0,0,0,Ineligible
37,1,1,7,1,0,0,Ineligible
41,1,0,23,0,0,0,Ineligible
71,1,0,66,1,0,0,Ineligible
50,0,1,3,0,0,0,Ineligible
41,1,1,95,0,0,0,IGNDPS
89,1,0,0,0,0,0,Ineligible
53,1,0,33,0,0,1,Ineligible
55,0,0,8,0,0,0,Ineligible
42,0,1,62,0,0,1,Ineligible
35,1,0,75,0,0,1,Ineligible
83,1,1,9,0,0,0,Annapurna
71,0,0,9,0,0,0,Ineligible
52,1,0,49,0,0,0,Ineligible
78,0,1,43,0,0,0,Annapurna
58,1,0,47,0,0,0,Ineligible
50,1,1,86,0,1,1,IGNDPS
85,1,0,5,0,0,0,Ineligible
50,1,1,87,0,0,1,IGNDPS
31,0,1,23,0,0,0,Ineligible
38,1,0,84,1,0,0,Ineligible
65,0,0,94,0,0,1,Ineligible
37,1,0,57,1,0,0,Ineligible
25,1,1,63,1,1,1,NFBS
24,1,1,93,0,0,0,IGNDPS
84,0,1,55,0,0,1,IGNOAPS
34,1,1,97,0,0,1,IGNDPS
50,0,0,81,0,0,0,Ineligible
65,0,0,11,0,0,1,Ineligible
76,1,0,34,1,0,0,Ineligible
39,0,0,70,0,0,0,Ineligible
47,1,0,88,0,0,0,Ineligible
55,0,1,5,0,0,0,Ineligible
68,0,1,64,0,0,0,Annapurna
71,1,1,79,0,0,1,IGNOAPS
25,1,0,59,0,0,0,Ineligible
44,0,1,67,0,1,1,NFBS
44,1,1,28,1,0,1,IGNWPS
38,1,1,37,1,0,1,Ineligible
47,1,0,91,0,0,1,Ineligible
45,0,0,21,0,0,1,Ineligible
81,1,0,7,0,0,0,Ineligible
86,1,0,62,0,0,0,Ineligible
78,1,1,95,0,0,0,IGNDPS
65,0,0,96,0,0,0,Ineligible
36,1,0,12,0,0,0,Ineligible
21,1,1,26,0,0,0,Ineligible
52,1,1,17,0,0,0,Ineligible
81,0,1,17,0,0,1,IGNOAPS
66,1,1,76,0,0,0,Annapurna
34,1,0,85,0,0,0,Ineligible
61,0,0,61,0,0,0,Ineligible
47,0,0,13,0,0,0,Ineligible
63,1,1,10,1,0,0,IGNWPS
23,0,1,85,0,0,0,IGNDPS
54,1,0,99,0,0,1,Ineligible
41,1,1,16,0,0,0,Ineligible
63,1,0,50,0,0,0,Ineligible
70,0,1,95,0,0,0,IGNDPS
77,0,0,13,0,0,1,Ineligible
80,1,0,56,0,0,0,Ineligible
49,0,1,92,0,0,0,IGNDPS
50,1,1,5,0,0,1,Ineligible
84,0,1,56,0,0,0,Annapurna
35,0,0,3,0,0,0,Ineligible
42,0,0,10,0,0,0,Ineligible
71,1,0,73,0,0,0,Ineligible
75,1,1,91,0,0,0,IGNDPS
84,0,1,10,0,0,0,Annapurna
63,0,1,98,0,0,1,IGNDPS
41,0,0,78,0,0,0,Ineligible
49,1,1,7,0,0,0,Ineligible
64,0,1,83,0,0,1,IGNDPS
40,1,1,58,1,0,1,IGNWPS
83,1,0,20,0,0,1,Ineligible
44,1,1,64,0,0,0,Ineligible
19,0,1,92,0,1,0,IGNDPS
34,1,1,23,0,0,1,Ineligible
50,0,1,29,0,0,0,Ineligible
26,0,0,98,0,0,0,Ineligible
60,1,1,96,0,0,0,IGNDPS
65,1,1,83,0,0,0,IGNDPS
56,0,0,56,0,0,0,Ineligible
59,0,0,79,0,0,1,Ineligible
43,1,0,72,0,0,0,Ineligible
67,0,1,94,0,0,0,IGNDPS
42,1,0,16,0,0,0,Ineligible
41,1,1,58,0,0,0,Ineligible
30,0,0,30,0,0,1,Ineligible
77,0,1,63,0,0,1,IGNOAPS
24,0,0,47,0,0,0,Ineligible
74,1,0,22,0,1,1,Ineligible
53,1,1,69,0,0,0,Ineligible
62,0,1,29,0,0,0,IGNOAPS
37,1,0,54,0,0,1,Ineligible
82,1,0,6,0,1,1,Ineligible
25,0,0,74,0,0,0,Ineligible
33,1,1,97,1,0,0,IGNDPS
31,0,1,11,0,0,0,Ineligible
32,0,1,59,0,0,0,Ineligible
83,0,1,51,0,0,0,Annapurna
49,0,1,26,0,0,0,Ineligible
80,0,0,11,0,0,1,Ineligible
68,0,1,12,0,0,0,Annapurna
42,1,1,71,1,0,0,IGNWPS
75,1,0,79,0,1,1,Ineligible
80,1,0,61,1,1,0,Ineligible
79,0,0,28,0,0,1,Ineligible
39,0,0,34,0,0,1,Ineligible
75,0,1,59,0,0,1,IGNOAPS
75,1,1,28,0,1,0,Annapurna
66,1,1,30,0,1,0,Annapurna
69,0,1,76,0,0,0,Annapurna
59,0,1,75,0,0,1,Ineligible
87,1,1,60,0,0,1,IGNOAPS
32,0,0,1,0,0,0,Ineligible
71,0,0,32,0,0,0,Ineligible
77,1,1,71,1,0,1,IGNWPS
25,1,0,61,1,0,0,Ineligible
70,0,0,58,0,0,0,Ineligible
77,0,1,39,0,0,1,IGNOAPS
22,1,1,48,1,0,0,Ineligible
85,0,0,31,0,0,0,Ineligible
23,0,1,37,0,0,0,Ineligible
64,0,1,91,0,1,1,IGNDPS
72,0,0,78,0,0,0,Ineligible
57,0,0,86,0,0,0,Ineligible
69,1,1,87,0,0,0,IGNDPS
33,0,0,12,0,0,0,Ineligible
30,0,0,84,0,0,0,Ineligible
47,1,1,53,0,0,0,Ineligible
36,1,1,75,0,0,0,Ineligible
34,1,0,12,1,0,1,Ineligible
80,1,0,38,0,0,1,Ineligible
36,0,0,22,0,0,1,Ineligible
75,1,1,91,0,0,1,IGNDPS
72,0,0,13,0,0,0,Ineligible
79,1,1,16,0,0,1,IGNOAPS
40,0,1,23,0,0,1,Ineligible
26,1,0,57,0,0,0,Ineligible
29,1,1,62,0,0,0,Ineligible
18,0,1,33,0,0,0,Ineligible
75,1,1,50,0,0,0,Annapurna
18,1,0,85,0,0,0,Ineligible
51,1,1,9,0,0,0,Ineligible
65,0,1,71,0,0,1,IGNOAPS
18,1,1,20,0,0,1,Ineligible
33,0,0,36,0,0,0,Ineligible
78,0,1,6,0,0,0,Annapurna
81,0,0,89,0,0,0,Ineligible
80,0,0,12,0,0,1,Ineligible
86,1,1,79,0,1,0,Annapurna
39,0,1,29,0,0,1,Ineligible
84,1,1,30,0,0,0,Annapurna
43,0,1,4,0,0,0,Ineligible
33,0,1,31,0,0,1,Ineligible
68,0,0,15,0,0,0,Ineligible
74,0,1,72,0,0,1,IGNOAPS
46,0,0,21,0,0,0,Ineligible
86,0,0,63,0,0,1,Ineligible
64,1,1,43,1,0,0,IGNWPS
79,0,1,39,0,1,0,Annapurna
86,0,1,36,0,0,0,Annapurna
33,0,1,77,0,0,0,Ineligible
65,1,0,15,0,1,0,Ineligible
56,1,0,42,0,1,1,Ineligible
50,0,1,83,0,0,1,IGNDPS
40,0,0,62,0,0,0,Ineligible
27,0,0,14,0,0,0,Ineligible
86,1,1,43,0,0,1,IGNOAPS
51,0,0,89,0,0,0,Ineligible
69,0,0,8,0,0,1,Ineligible
27,0,1,64,0,0,1,Ineligible
36,0,1,98,0,0,1,IGNDPS
75,0,1,43,0,0,0,Annapurna
18,1,1,19,0,0,1,Ineligible
86,0,1,69,0,1,0,Annapurna
21,1,1,73,0,0,0,Ineligible
33,0,1,32,0,0,0,Ineligible
41,0,0,79,0,0,0,Ineligible
19,1,0,99,0,0,0,Ineligible
49,0,1,5,0,0,1,Ineligible
41,1,1,82,0,0,0,IGNDPS
29,1,1,30,0,0,0,Ineligible
67,0,1,65,0,1,1,IGNOAPS
52,1,1,17,0,0,1,Ineligible
50,0,1,27,0,0,0,Ineligible
50,1,1,67,0,0,1,Ineligible
78,0,0,64,0,0,1,Ineligible
68,1,1,79,0,0,0,Annapurna
60,0,0,44,0,0,1,Ineligible
29,1,1,57,0,0,0,Ineligible
84,1,1,46,0,0,1,IGNOAPS
82,1,1,65,0,0,0,Annapurna
50,1,1,51,0,0,0,Ineligible
57,1,1,35,0,1,0,NFBS
60,1,0,0,0,0,0,Ineligible
61,0,0,38,0,0,0,Ineligible
46,0,1,86,0,0,1,IGNDPS
30,0,1,89,0,0,0,IGNDPS
29,0,1,74,0,0,0,Ineligible
63,0,0,0,0,1,0,Ineligible
19,1,1,74,0,0,1,Ineligible
52,0,1,87,0,0,1,IGNDPS
25,1,1,73,0,0,1,Ineligible
43,0,1,13,0,0,1,Ineligible
51,0,1,77,0,0,0,Ineligible
24,1,1,70,0,1,1,NFBS
85,1,1,22,0,0,0,Annapurna
75,1,1,42,0,0,1,IGNOAPS
46,1,0,21,0,0,0,Ineligible
53,0,1,59,0,0,1,Ineligible
38,1,0,99,0,0,0,Ineligible
53,0,0,26,0,0,0,Ineligible
27,0,1,55,0,1,0,NFBS
41,0,0,1,0,0,0,Ineligible
81,0,1,38,0,0,0,Annapurna
66,0,1,50,0,0,0,Annapurna
53,1,1,18,0,0,1,Ineligible
41,1,1,61,0,0,0,Ineligible
40,0,0,70,0,0,0,Ineligible
79,0,1,75,0,0,1,IGNOAPS
54,0,0,66,0,0,0,Ineligible
29,0,1,62,0,0,1,Ineligible
72,1,1,4,0,0,0,Annapurna
30,0,0,71,0,1,0,Ineligible
40,1,1,77,0,0,0,Ineligible
47,0,1,60,0,0,0,Ineligible
34,1,1,99,0,0,1,IGNDPS
79,0,1,70,0,0,0,Annapurna
30,1,0,6,0,0,1,Ineligible
76,0,1,49,0,0,0,Annapurna
36,1,1,45,0,0,1,Ineligible
66,0,1,95,0,0,1,IGNDPS
29,0,0,71,0,0,0,Ineligible
78,1,1,75,0,0,1,IGNOAPS
36,1,0,73,1,0,0,Ineligible
26,1,0,13,1,1,0,Ineligible
88,1,1,72,0,1,1,IGNOAPS
45,1,1,93,0,0,0,IGNDPS
69,0,1,68,0,0,0,Annapurna
33,0,1,64,0,0,0,Ineligible
86,0,1,64,0,0,1,IGNOAPS
29,1,0,56,0,0,1,Ineligible
42,0,1,61,0,0,1,Ineligible
69,0,0,19,0,0,0,Ineligible
70,1,1,74,0,0,1,IGNOAPS
40,1,0,25,1,0,1,Ineligible
33,0,0,43,0,0,0,Ineligible
74,0,1,66,0,0,0,Annapurna
56,0,0,69,0,0,1,Ineligible
70,0,0,61,0,0,1,Ineligible
59,0,1,44,0,0,0,Ineligible
75,1,0,10,1,0,1,Ineligible
56,1,0,71,1,0,0,Ineligible
31,1,0,92,1,0,1,Ineligible
22,0,1,73,0,0,0,Ineligible
52,1,1,33,0,0,0,Ineligible
35,0,1,87,0,0,0,IGNDPS
26,0,1,45,0,0,1,Ineligible
75,1,0,80,1,0,0,Ineligible
34,0,1,31,0,0,1,Ineligible
24,0,0,74,0,0,0,Ineligible
63,1,1,97,0,0,1,IGNDPS
30,0,1,87,0,0,0,IGNDPS
57,1,1,4,0,0,0,Ineligible
59,0,0,62,0,0,0,Ineligible
26,1,0,28,0,1,0,Ineligible
67,0,1,47,0,0,1,IGNOAPS
44,0,0,97,0,0,0,Ineligible
83,1,1,15,0,0,0,Annapurna
22,0,1,24,0,0,0,Ineligible
46,0,1,71,0,0,0,Ineligible
54,0,0,28,0,0,0,Ineligible
55,0,1,51,0,0,0,Ineligible
25,0,1,45,0,0,0,Ineligible
82,0,1,24,0,0,0,Annapurna
34,1,0,22,0,0,0,Ineligible
88,0,0,33,0,1,0,Ineligible
62,0,0,66,0,0,0,Ineligible
21,0,0,93,0,0,1,Ineligible
53,0,1,33,0,0,1,Ineligible
87,1,1,31,0,0,0,Annapurna
48,0,0,28,0,0,0,Ineligible
36,1,1,8,1,0,0,Ineligible
78,0,0,65,0,0,1,Ineligible
71,1,0,56,0,0,0,Ineligible
56,1,0,38,1,1,1,Ineligible
36,1,0,6,1,0,0,Ineligible
56,1,1,68,0,0,1,Ineligible
84,1,0,7,0,0,0,Ineligible
62,0,1,95,0,0,0,IGNDPS
30,0,1,17,0,0,0,Ineligible
75,1,1,81,1,0,0,IGNDPS
37,0,0,48,0,0,1,Ineligible
89,0,0,15,0,0,1,Ineligible
78,1,0,20,1,0,0,Ineligible
56,0,1,9,0,0,0,Ineligible
18,1,0,3,0,1,1,Ineligible
20,1,1,43,0,0,0,Ineligible
79,1,1,7,1,0,0,IGNWPS
80,1,1,54,1,0,0,Annapurna
42,0,1,18,0,0,0,Ineligible
73,0,0,63,0,0,1,Ineligible
50,0,1,39,0,0,0,Ineligible
55,0,1,50,0,0,0,Ineligible
23,1,1,8,0,0,0,Ineligible
75,1,1,29,0,0,0,Annapurna
61,0,1,55,0,0,1,IGNOAPS
62,0,0,80,0,0,0,Ineligible
49,1,0,43,0,0,0,Ineligible
62,0,0,58,0,0,1,Ineligible
78,0,0,14,0,0,0,Ineligible
64,0,0,67,0,0,0,Ineligible
38,1,1,69,1,0,0,Ineligible
53,1,1,60,1,0,0,IGNWPS
36,1,1,79,0,0,0,Ineligible
37,1,1,89,0,0,0,IGNDPS
74,0,1,22,0,0,0,Annapurna
35,0,0,76,0,0,1,Ineligible
64,1,0,46,0,0,0,Ineligible
66,0,1,16,0,0,1,IGNOAPS
31,1,0,56,0,0,0,Ineligible
32,1,0,53,1,0,1,Ineligible
48,1,0,90,1,0,1,Ineligible
18,1,0,51,0,0,0,Ineligible
71,1,1,21,1,0,1,IGNWPS
20,1,1,82,0,0,0,IGNDPS
33,0,1,38,0,0,1,Ineligible
74,0,1,98,0,0,1,IGNDPS
29,0,0,12,0,0,0,Ineligible
33,1,0,77,0,0,0,Ineligible
89,0,0,94,0,0,0,Ineligible
41,1,0,65,0,0,0,Ineligible
45,0,1,51,0,0,0,Ineligible
25,1,1,13,0,0,0,Ineligible
53,0,1,72,0,0,0,Ineligible
25,1,0,73,0,0,0,Ineligible
75,1,1,62,0,1,0,Annapurna
77,0,1,70,0,0,0,Annapurna
67,0,1,27,0,0,0,Annapurna
45,1,1,88,0,0,1,IGNDPS
58,0,1,45,0,0,1,Ineligible
81,0,1,27,0,0,0,Annapurna
44,1,1,1,0,1,1,NFBS
80,1,0,16,0,0,1,Ineligible
34,1,1,58,0,0,1,Ineligible
50,0,0,51,0,0,0,Ineligible
46,0,0,3,0,0,0,Ineligible
30,1,1,76,1,1,0,NFBS
63,1,1,81,0,0,0,IGNDPS
52,1,0,2,0,0,0,Ineligible
23,0,1,36,0,0,0,Ineligible
86,0,0,96,0,0,0,Ineligible
64,0,1,23,0,0,0,IGNOAPS
42,0,1,71,0,0,0,Ineligible
83,0,1,34,0,0,1,IGNOAPS
27,0,1,1,0,0,1,Ineligible
73,1,0,32,0,0,1,Ineligible
47,0,1,75,0,0,0,Ineligible
22,1,0,85,0,0,1,Ineligible
50,1,1,76,0,0,0,Ineligible
82,1,1,9,1,0,1,IGNOAPS
35,0,1,80,0,0,0,IGNDPS
66,1,0,61,0,0,0,Ineligible
28,1,0,42,1,0,1,Ineligible
43,1,0,68,0,1,1,Ineligible
80,1,1,58,0,0,1,IGNOAPS
76,1,1,8,1,0,1,IGNWPS
44,1,0,76,0,0,0,Ineligible
66,0,1,59,0,1,0,Annapurna
50,1,1,62,0,0,0,Ineligible
18,0,0,51,0,0,0,Ineligible
38,1,1,22,0,0,1,Ineligible
72,0,1,29,0,1,1,IGNOAPS
23,0,1,42,0,0,0,Ineligible
86,1,0,67,1,0,0,Ineligible
22,1,0,20,1,0,0,Ineligible
20,0,0,42,0,1,1,Ineligible
70,0,0,72,0,0,0,Ineligible
40,1,0,6,0,0,0,Ineligible
70,0,1,15,0,0,0,Annapurna
54,1,1,22,0,0,0,Ineligible
34,0,1,57,0,0,1,Ineligible
18,1,0,86,0,0,1,Ineligible
68,1,1,30,0,1,0,Annapurna
62,0,1,68,0,0,0,IGNOAPS
21,0,1,5,0,1,1,NFBS
79,0,1,64,0,0,1,IGNOAPS
82,1,1,58,0,0,0,Annapurna
49,1,1,27,0,0,0,Ineligible
51,1,0,17,1,0,1,Ineligible
89,0,1,87,0,0,0,Annapurna
56,0,0,76,0,0,1,Ineligible
43,0,0,96,0,1,0,Ineligible
51,0,0,9,0,0,0,Ineligible
71,1,0,6,0,0,0,Ineligible
20,1,0,36,0,0,1,Ineligible
67,1,0,95,0,0,1,Ineligible
29,0,0,44,0,0,0,Ineligible
82,1,1,85,0,0,0,Annapurna
71,1,0,15,0,0,0,Ineligible
22,1,1,87,0,0,1,IGNDPS
74,1,0,13,0,1,1,Ineligible
34,0,1,10,0,0,1,Ineligible
64,0,1,82,0,1,0,IGNDPS
40,1,1,86,0,0,0,IGNDPS
31,0,1,33,0,0,0,Ineligible
83,0,0,59,0,0,0,Ineligible
68,1,1,12,1,0,0,IGNWPS
55,1,1,38,0,0,1,Ineligible
81,1,1,43,0,0,0,Annapurna
55,0,1,27,0,0,0,Ineligible
67,0,0,39,0,0,1,Ineligible
47,1,1,15,0,0,1,Ineligible
68,1,0,49,0,0,0,Ineligible
80,1,1,27,1,0,0,Annapurna
69,1,0,67,0,0,0,Ineligible
55,1,1,91,0,0,0,IGNDPS
47,1,0,59,0,0,1,Ineligible
68,0,0,11,0,0,1,Ineligible
22,1,1,15,0,0,0,Ineligible
46,1,1,52,0,0,1,Ineligible
21,1,1,53,0,0,1,Ineligible
27,0,0,48,0,0,1,Ineligible
73,1,0,35,0,0,1,Ineligible
34,0,1,61,0,0,0,Ineligible
34,1,1,83,0,0,0,IGNDPS
86,0,1,25,0,0,0,Annapurna
51,1,1,55,0,0,0,Ineligible
23,0,1,89,0,1,0,IGNDPS
70,0,1,21,0,0,0,Annapurna
83,0,1,72,0,1,1,IGNOAPS
60,1,1,68,0,0,0,IGNOAPS
40,0,1,80,0,0,1,IGNDPS
72,0,1,48,0,0,0,Annapurna
33,1,1,97,0,0,0,IGNDPS
25,0,0,1,0,0,0,Ineligible
21,1,0,52,0,0,0,Ineligible
21,1,0,6,0,0,0,Ineligible
73,1,1,99,0,0,1,IGNDPS
42,0,0,76,0,0,0,Ineligible
84,1,0,19,1,0,1,Ineligible
84,0,1,93,0,0,0,Annapurna
44,0,1,29,0,0,0,Ineligible
49,0,1,74,0,1,1,NFBS
67,1,1,94,0,1,0,IGNDPS
78,0,1,66,0,0,0,Annapurna
68,1,1,58,1,0,0,IGNWPS
36,1,1,65,0,0,0,Ineligible
38,0,1,2,0,0,0,Ineligible
22,0,0,55,0,1,0,Ineligible
59,1,1,78,0,1,0,NFBS
78,1,0,16,0,0,0,Ineligible
39,1,0,51,1,0,1,Ineligible
38,0,1,6,0,0,0,Ineligible
87,0,0,4,0,0,1,Ineligible
18,0,1,97,0,0,0,IGNDPS
22,0,1,96,0,1,1,IGNDPS
29,0,1,53,0,0,1,Ineligible
63,1,1,60,0,1,0,IGNOAPS
51,0,1,15,0,0,1,Ineligible
66,0,0,66,0,0,0,Ineligible
62,1,1,58,1,0,0,IGNWPS
44,1,1,46,0,0,0,Ineligible
43,0,1,47,0,0,1,Ineligible
64,1,1,63,1,0,1,IGNWPS
73,0,0,49,0,1,0,Ineligible
